OBJECTID *,Shape *,KODE UP3,KODE ULP,ASSETNUM,CLASSIFICATION,NAMA SEGMEN,BAHAN_KAWAT,TIANG_AKHIR,TIANG_AWAL,JENIS_KABEL,UKURAN_KAWAT,Ukuran_SINCAL,LENGTH,STATUS,PENYULANG,PANJANG_HANTARAN,KODE_PENYULANG,FEATURE,GARDU_INDUK,Keterangan,ID_SECTION,SECTION_NAME,MAIN_LINE,Analisa_Connectivity,NAMA_FEEDER,LINE_TYPE,BULAN,VERSI_PERBAIKAN,Shape_Length
6755,Polyline,7211,23230,3718902,SUTM,SEGMEN GARDU BTS 119 _ GARDU JNJ 038,Aluminium,TG01.04702984,TG01.04702970,A3C,3x150,aaac3x150,<Null>,OPERATING,GRT.01,"0,889",3714429,SUTM,GI GROGOT,,210103,SECTION-LBS-LBS MAN IC,<Null>,Segmen terhubung,GRT.01,MAIN_LINE,<Null>,2,"845,707858"
6760,Polyline,7211,23230,,SUTM,SEGMEN GARDU BTS 129 _ GD JNJ0343,Aluminium ,TG01.04703002,TG01.04702987,A3C,3x150,aaac3x150,<Null>,OPERATING,GRT.01,"0,972",3714429,SUTM,GI GROGOT,,210103,SECTION-LBS-LBS MAN IC,<Null>,Segmen terhubung,GRT.01,MAIN_LINE,<Null>,2,"935,729674"
6766,Polyline,7211,23230,3718913,SUTM,SEGMEN GARDU GSR 313 _ GRT1-59R8,Aluminium,TG01.04703115,TG01.04703114,A3CS,3x150,aaacs3x150,<Null>,OPERATING,GRT.01,"0,043",3714429,SUTM,GI GROGOT,,210101,SECTION-PMT-GRT.01,<Null>,Segmen terhubung,GRT.01,SUB_LINE,<Null>,2,"40,520344"
6770,Polyline,7211,23230,3718903,SUTM,SEGMEN GARDU JNJ 038 _ GRT1-160,Aluminium,TG01.04702986,TG01.04702984,A3C,3x150,aaac3x150,<Null>,OPERATING,GRT.01,"0,084",3714429,SUTM,GI GROGOT,,210103,SECTION-LBS-LBS MAN IC,<Null>,Segmen terhubung,GRT.01,MAIN_LINE,<Null>,2,"79,275847"
6772,Polyline,7211,23230,,SUTM,SEGMEN GD JNJ0077 _ GD LLO0344,Aluminium ,TG01.04703031,TG01.04703025,A3C,3x150,aaac3x150,<Null>,OPERATING,GRT.01,"0,338",3714429,SUTM,GI GROGOT,,210103,SECTION-LBS-LBS MAN IC,<Null>,Segmen terhubung,GRT.01,MAIN_LINE,<Null>,2,"320,870802"
6776,Polyline,7211,23230,,SUTM,SEGMEN GD JNJ0077 _ GD LLO0344,Aluminium ,TG01.04703058,TG01.04703031,A3C,3x150,aaac3x150,<Null>,OPERATING,GRT.01,"1,608",3714429,SUTM,GI GROGOT,,210103,SECTION-LBS-LBS MAN IC,<Null>,Segmen terhubung,GRT.01,MAIN_LINE,<Null>,2,"1530,196008"
6786,Polyline,7211,23230,3718907,SUTM,SEGMEN GARDU JNJ 152 _ GARDU JNJ 077,Aluminium,TG01.04703020,TG01.04703011,A3C,3x150,aaac3x150,<Null>,OPERATING,GRT.01,"0,55",3714429,SUTM,GI GROGOT,,210103,SECTION-LBS-LBS MAN IC,<Null>,Segmen terhubung,GRT.01,MAIN_LINE,<Null>,2,"523,364872"
6790,Polyline,7211,23230,3718907,SUTM,SEGMEN GARDU JNJ 152 _ GARDU JNJ 077,Aluminium,TG01.04703025,TG01.04703020,A3C,3x150,aaac3x150,<Null>,OPERATING,GRT.01,"0,283",3714429,SUTM,GI GROGOT,,210103,SECTION-LBS-LBS MAN IC,<Null>,Segmen terhubung,GRT.01,MAIN_LINE,<Null>,2,"269,036762"
6792,Polyline,7211,23230,,SKUTM,SEGMEN LANJUT2_LANJUT3,Aluminium ,TG01.04703373,TG01.04703280,MVTIC,3x150,tic3x150,<Null>,OPERATING,GRT.01,"3,909",3714429,SKUTM,GI GROGOT,,210102,SECTION-REC-JANJU,<Null>,Segmen terhubung,GRT.01,SUB_LINE,<Null>,2,"3721,437387"
6794,Polyline,7211,23230,3718936,SUTM,SEGMEN GARDU JNJ 317 _ GRT1-160R2,Aluminium,TG01.04703405,TG01.04703404,A3CS,3x150,aaacs3x150,<Null>,OPERATING,GRT.01,"0,045",3714429,SUTM,GI GROGOT,,210103,SECTION-LBS-LBS MAN IC,<Null>,Segmen terhubung,GRT.01,SUB_LINE,<Null>,2,"41,981581"
6796,Polyline,7211,23230,3718938,SUTM,SEGMEN GARDU JNJ 318 _ GRT1-160R54,Aluminium,TG01.04703457,TG01.04703454,A3CS,3x150,aaacs3x150,<Null>,OPERATING,GRT.01,"0,168",3714429,SUTM,GI GROGOT,,210103,SECTION-LBS-LBS MAN IC,<Null>,Segmen terhubung,GRT.01,SUB_LINE,<Null>,2,"159,765663"
6798,Polyline,7211,23230,3718923,SUTM,SEGMEN GARDU KDR 254 _ GRT1-80L57R28,Aluminium,TG01.04703220,TG01.04703218,A3CS,3x150,aaacs3x150,<Null>,OPERATING,GRT.01,"0,103",3714429,SUTM,GI GROGOT,,210101,SECTION-PMT-GRT.01,<Null>,Segmen terhubung,GRT.01,SUB_LINE,<Null>,2,"97,368336"
6807,Polyline,7211,23230,3718917,SUTM,SEGMEN GARDU KSB 158 _ GARDU TBT 210,Aluminium,TG01.04703147,TG01.04703132,A3CS,3x150,aaacs3x150,<Null>,OPERATING,GRT.01,"0,721",3714429,SUTM,GI GROGOT,,210101,SECTION-PMT-GRT.01,<Null>,Segmen terhubung,GRT.01,SUB_LINE,<Null>,2,"685,82455"
6821,Polyline,7211,23230,3718911,SUTM,SEGMEN GARDU LLO 029 _ LBS MOTORIZED LOLO,Aluminium,TG01.04701866,TG01.04703077,A3C,3x150,aaac3x150,<Null>,OPERATING,GRT.01,"1,873",3714429,SUTM,GI GROGOT,,210103,SECTION-LBS-LBS MAN IC,<Null>,Segmen terhubung,GRT.01,SUB_LINE,<Null>,2,"1782,900484"
6839,Polyline,7211,23230,3718910,SUTM,SEGMEN GARDU LLO 263 _ GARDU LLO 029,Aluminium,TG01.04703077,TG01.04703069,A3C,3x150,aaac3x150,<Null>,OPERATING,GRT.01,"0,508",3714429,SUTM,GI GROGOT,,210103,SECTION-LBS-LBS MAN IC,<Null>,Segmen terhubung,GRT.01,SUB_LINE,<Null>,2,"482,853352"
6850,Polyline,7211,23230,3718931,SUTM,SEGMEN LANJUT3_TIANG UJUNG,Aluminium,TG01.04703374,TG01.04703373,A3CS,3x150,aaacs3x150,<Null>,OPERATING,GRT.01,"0,049",3714429,SUTM,GI GROGOT,,210102,SECTION-REC-JANJU,<Null>,Segmen terhubung,GRT.01,SUB_LINE,<Null>,2,"45,935292"
