OBJECTID *,Shape *,ASSETGROUP,ASSETTYPE,ASSETNUM,CLASSIFICATION_TRAFO,DESCRIPTION GARDU,INSTALLDATE,LOCATION_GARDU,STATUS,TUJDNUMBER_TRAFO,FASA_TRAFO,JENIS_TRAFO,KAPASITAS_BARU,NO_TRAFO,PERUNTUKAN,POSISI_FASA,TEGANGAN_TRAFO,TH_BUAT,PRIORITAS,globalid *,LATITUDE,LONGITUDE,AssetNum_Trafo,GARDU_INDUK,Keterangan,PENYULANG,LOCATION_TIANG,ID_SECTION,SECTION_NAME,GARDU_UID,ASSETGROUP,ASSETTYPE,LOCATION,SSOTNUMBER_GARDU,NAMA_GARDU,KODE_GARDU,TUJDNUMBER_GARDU,TYPE_GARDU,ASSETNUM,SSOTNUMBER_TRAFO,NAMA_TRAFO,KAPASITAS_MAXIMO,BEBAN_SINCAL,JENIS_PELAYANAN,DESCRIPTION_TRAFO,KODE_PERALATAN,OWNER_PEMELIHARAAN,STATUS_KEPEMILIKAN,STATUS_RC,CXPENYULANG,SADDRESSCODE,LOCATION TYPE,STREETADDRESS,FORMATTEDADDRESS,CITY,KODE_PENYULANG
2218,Point,7211,23230,92017619,Trafo,GD JNJ0343,12/30/1899,GD01.62264788,OPERATING,72TF0134093644,3 FASA,Outdoor,25,25,UMUM,RST,20 kV/B2,2022,,{F4BED6E6-59BF-4E5A-87AA-3D2F26976F86},"-1,854353","116,14356",92017619,GI GROGOT,,GRT.01,TG01.04703002,210103,SECTION-LBS-LBS MAN IC,2814,7211,23230,GD01.62264788,23230GD010000020194,GD JNJ0343,JNJ0343,72GD0162264788,Gardu Portal,92017619,23230TF010000020535,TRAFO GD JNJ0343,25,"0,02",Umum,TRAFO GD JNJ0343,12345678,,PLN,TIDAK ADA,3714429,SA72873709,Bangunan Sipil Gardu,UNNAMED ROAD,TANAH GROGOT,UNNAMED ROAD,3714429
2344,Point,7211,23230,3742726,Trafo,GD SPL0102,12/30/1899,GD01.04669871,OPERATING,72TF0103742726,3 FASA,3,50,25,UMUM,RST,20 kV/B2,2017,3,{D7C94FB8-9E98-4F03-BD19-00644F33A8C7},"-1,864624","116,152259",3742726,GI GROGOT,,GRT.01,TG01.04703399,210103,SECTION-LBS-LBS MAN IC,2940,7211,23230,GD01.04669871,23230GD010000012276,GD SPL0102,SPL0102,72GD0104669871,Gardu Portal,3742726,23230TF010000002730,TRAFO GD SPL0102,25,"0,02",Umum,TRAFO GD SPL0102,12345678,,PLN,TIDAK ADA,3714429,SA6564743,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2345,Point,7211,23230,3742727,Trafo,GD SPL0286,12/30/1899,GD01.04669872,OPERATING,72TF0103742727,3 FASA,2,50,50,UMUM,RST,20 kV/B2,2017,3,{D9D0F395-45D0-485E-9C73-8CFFEBBADCB1},"-1,866297","116,152029",3742727,GI GROGOT,,GRT.01,TG01.04703403,210103,SECTION-LBS-LBS MAN IC,2941,7211,23230,GD01.04669872,23230GD010000012275,GD SPL0286,SPL0286,72GD0104669872,Gardu Portal,3742727,23230TF010000002731,TRAFO GD SPL0286,50,"0,04",Umum,TRAFO GD SPL0286,12345678,,PLN,TIDAK ADA,3714429,SA6564744,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2347,Point,7211,23230,3742725,Trafo,GD SPL0022,12/30/1899,GD01.04669870,OPERATING,72TF0103742725,3 FASA,2,100,100,UMUM,RST,20 kV/B2,2017,3,{4D4E55C5-A9FA-4E17-9327-7D1AC5D4448F},"-1,854695","116,15446",3742725,GI GROGOT,,GRT.01,TG01.04703379,210103,SECTION-LBS-LBS MAN IC,2943,7211,23230,GD01.04669870,23230GD010000012277,GD SPL0022,SPL0022,72GD0104669870,Gardu Cantol,3742725,23230TF010000002729,TRAFO GD SPL0022,100,"0,08",Umum,TRAFO GD SPL0022,12345678,,PLN,TIDAK ADA,3714429,SA6564742,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2459,Point,7211,23230,3742719,Trafo,GD KDR0254,12/30/1899,GD01.04669864,OPERATING,72TF0103742719,3 FASA,2,100,100,UMUM,RST,20 kV/B2,2017,3,{5F6B10BD-BE86-4555-9F88-74C6E1AB34C6},"-1,888498","116,159928",3742719,GI GROGOT,,GRT.01,TG01.04703218,210101,SECTION-PMT-GRT.01,3055,7211,23230,GD01.04669864,23230GD010000012282,GD KDR0254,KDR0254,72GD0104669864,Gardu Portal,3742719,23230TF010000002723,TRAFO GD KDR0254,100,"0,08",Umum,TRAFO GD KDR0254,12345678,,PLN,TIDAK ADA,3714429,SA6564736,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2461,Point,7211,23230,3742723,Trafo,GD JNJ0271,12/30/1899,GD01.04669868,OPERATING,72TF0103742723,3 FASA,3,100,160,UMUM,RST,20 kV/B2,2017,3,{847419CF-F8E0-4F83-BD6A-D41F82D0AEF5},"-1,853109","116,173346",3742723,GI GROGOT,,GRT.01,TG01.04703251,210102,SECTION-REC-JANJU,3057,7211,23230,GD01.04669868,23230GD010000012278,GD JNJ0271,JNJ0271,72GD0104669868,Gardu Portal,3742723,23230TF010000002727,TRAFO GD JNJ0271,160,"0,128",Umum,TRAFO GD JNJ0271,12345678,,PLN,TIDAK ADA,3714429,SA6564740,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2462,Point,7211,23230,3742720,Trafo,GD TJL0281,12/30/1899,GD01.04669865,OPERATING,72TF0103742720,3 FASA,2,100,100,UMUM,RST,20 kV/B2,2017,3,{E2E004D7-7ADC-4F7F-B360-CAED39E3AA5D},"-1,883856","116,167112",3742720,GI GROGOT,,GRT.01,TG01.04703227,210101,SECTION-PMT-GRT.01,3058,7211,23230,GD01.04669865,23230GD010000012281,GD TJL0281,TJL0281,72GD0104669865,Gardu Portal,3742720,23230TF010000002724,TRAFO GD TJL0281,100,"0,08",Umum,TRAFO GD TJL0281,12345678,,PLN,TIDAK ADA,3714429,SA6564737,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2464,Point,7211,23230,3742722,Trafo,GD JNJ0232,12/30/1899,GD01.04669867,OPERATING,72TF0103742722,3 FASA,2,50,50,UMUM,RST,20 kV/B2,2017,3,{A30745C3-3BC9-4427-A7E3-00CE364E33F4},"-1,85953","116,174175",3742722,GI GROGOT,,GRT.01,TG01.04703243,210102,SECTION-REC-JANJU,3060,7211,23230,GD01.04669867,23230GD010000012279,GD JNJ0232,JNJ0232,72GD0104669867,Gardu Portal,3742722,23230TF010000002726,TRAFO GD JNJ0232,50,"0,04",Umum,TRAFO GD JNJ0232,12345678,,PLN,TIDAK ADA,3714429,SA6564739,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2470,Point,7211,23230,3742721,Trafo,GD PKT0239,12/30/1899,GD01.04669866,OPERATING,72TF0103742721,3 FASA,2,4000,4000,PELANGGAN KHUSUS,RST,20 kV/B2,2017,3,{304723F6-8E6E-4F09-8CAB-B95316729417},"-1,86953","116,180006",3742721,GI GROGOT,,GRT.01,TG01.04703242,210101,SECTION-PMT-GRT.01,3066,7211,23230,GD01.04669866,23230GD010000012280,GD PKT0239,PKT0239,72GD0104669866,Gardu Beton,3742721,23230TF010000002725,TRAFO GD PKT0239,4000,"3,2",Khusus,TRAFO GD PKT0239,12345678,,NON PLN,TIDAK ADA,3714429,SA6564738,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2480,Point,7211,23230,3742713,Trafo,GD LLO0029,12/30/1899,GD01.04669858,OPERATING,72TF0103742713,3 FASA,3,50,50,UMUM,RST,20 kV/B2,2017,3,{E9DF6363-0042-4178-89BA-CEB5F674C328},"-1,881568","116,123898",3742713,GI GROGOT,,GRT.01,TG01.04703077,210103,SECTION-LBS-LBS MAN IC,3076,7211,23230,GD01.04669858,23230GD010000012286,GD LLO0029,LLO0029,72GD0104669858,Gardu Cantol,3742713,23230TF010000002717,TRAFO GD LLO0029,50,"0,04",Umum,TRAFO GD LLO0029,12345678,,PLN,TIDAK ADA,3714429,SA6564730,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
